u,g,r,i,z,redshift
19.15826,18.14675,17.82738,17.58305,17.46861,0.03839651
20.64903,18.54806,17.81284,17.39808,16.81681,0.08768032
24.48476,20.54245,18.85108,18.18441,17.82634,0.4017109
23.50723,21.81762,19.62337,18.78255,18.39089,0.4094613
24.89327,21.80445,20.10753,19.17011,18.64481,0.5047174
23.18699,21.8886,20.13682,19.22492,18.56141,0.4954354
22.60597,19.50651,17.79598,17.21807,16.89118,0.2836664
20.47026,18.6179,17.32641,16.83964,16.49913,0.207579
17.49813,16.13657,15.48056,15.10819,14.83966,0.0504769
23.67165,20.77477,19.06702,18.40014,17.98351,0.4131271
20.48867,18.37982,17.24391,16.78777,16.44844,0.1745856
25.71663,21.88456,20.01089,19.21866,18.7894,0.4625955
22.6415,22.45079,20.34766,19.43821,18.84905,0.5054688
24.03451,22.25574,20.66084,19.78265,19.08152,0.58343
20.19584,18.30435,17.4588,17.0757,16.74603,0.08063152
25.68386,22.24546,20.56485,19.53111,19.4759,0.4991374
18.00955,16.60837,15.94372,15.61136,15.34202,0.03353775
19.21543,18.08717,17.39866,17.007,16.83246,0.1470155
19.9458,18.12194,16.87682,16.35683,15.95175,0.1691056
24.86279,23.10192,21.21769,20.03689,19.14201,0.8567975
22.32086,20.23338,18.69842,18.0944,17.71778,0.3036064
21.89384,20.6635,18.97916,18.35355,17.99169,0.3985649
18.86326,17.12525,16.23611,15.80597,15.48053,0.05667758
22.62274,21.75243,20.35993,19.60619,19.29417,0.4374636
20.36452,18.4097,17.37654,16.95876,16.57962,0.1121304
22.3321,19.437,17.90615,17.35909,17.05895,0.2599134
18.92644,17.18682,16.34909,15.96225,15.64134,0.06637767
22.54937,21.87384,19.87289,19.0701,18.68446,0.4487207
22.2821,20.13674,18.465,17.85165,17.49398,0.3235274
19.21862,17.95634,17.43814,17.1594,16.97115,0.04829505
25.24499,22.47228,21.00215,19.67102,19.09542,0.6652986
25.6931,21.8774,20.27219,19.15217,18.67715,0.5770633
23.44374,21.88419,20.20868,19.43057,18.87349,0.4724633
23.36652,21.49698,19.9205,19.14276,18.63321,0.4369846
19.83606,18.14727,16.96375,16.43898,16.10062,0.2145775
19.95837,18.07442,17.1271,16.62597,16.22563,0.08495665
20.90981,18.80216,17.71256,17.26642,16.93289,0.1398763
19.11093,17.91887,17.45547,17.18594,17.0428,0.06633019
24.49277,22.07424,20.46953,19.38435,19.04514,0.5299769
24.38827,22.77717,20.64773,19.65449,19.4392,0.5958864
22.06793,22.18821,20.6724,19.3992,18.85278,0.7303435
23.10007,22.20992,20.41269,19.52333,19.06035,0.4975999
24.79869,21.65535,20.24099,19.49004,19.16049,0.3785436
19.27152,17.9113,17.27297,16.94067,16.73832,0.05444937
21.77404,21.21088,19.82178,18.60624,18.10454,0.6403931
24.37675,21.7133,20.6506,19.86029,19.52183,0.5953616
25.75801,23.02144,20.89987,19.84001,19.45528,0.5249335
19.31494,18.63323,18.25093,17.90246,17.85304,0.1812425
23.13501,20.5432,18.95285,18.29824,17.86581,0.3246058
20.34717,18.45736,17.60551,17.16064,16.90952,0.07212371
22.20947,20.19402,18.63137,18.07339,17.75386,0.2807294
19.46021,17.46692,16.36619,15.92633,15.55254,0.1387596
24.37165,22.14884,20.60226,19.7733,19.22095,0.5556325
19.51886,18.38101,17.63187,17.19188,16.93553,0.1487412
25.43269,21.36084,19.51918,18.64756,18.17514,0.4733231
19.24776,17.91118,17.35662,17.06807,16.89799,0.04290721
24.90599,22.30639,20.67628,19.52187,19.27913,0.5271834
20.99051,18.89025,17.66354,17.1655,16.80942,0.1841606
22.92926,21.36488,20.26995,19.53494,19.09978,0.5947415
22.65392,21.01964,19.24895,18.65939,18.21699,0.3448837
19.48456,17.66325,16.91843,16.5524,16.266,0.05048901
21.85528,19.00808,17.47677,16.95194,16.56174,0.2476678
19.15812,18.09451,17.69449,17.39257,17.17143,0.05748039
18.64156,17.64186,17.31418,17.1187,17.04483,0.07017241
22.19633,21.70904,20.46562,19.6657,18.97132,0.6121033
20.58698,18.75554,17.78845,17.27262,16.87628,0.0869586
20.95568,18.65823,17.61936,17.18723,16.86376,0.1336769
24.19136,21.5736,19.93778,19.14749,18.80356,0.4854362
25.87032,22.40802,20.6962,19.7607,19.17601,0.5095546
23.21535,20.39948,18.75101,18.17651,17.75584,0.3085071
24.17955,21.93067,20.31003,19.39797,18.89564,0.5024001
21.98084,21.21996,19.76919,19.01998,18.57956,0.4956295
19.3161,17.28826,16.37949,15.95343,15.65256,0.08446006
24.31983,21.99142,20.56495,19.81942,19.54607,0.4509271
19.29812,17.56767,16.68596,16.23061,15.91191,0.08888021
19.7697,17.77167,16.69114,16.25831,15.90821,0.1443537
23.86295,21.20083,19.42587,18.71052,18.42689,0.4337417
25.29573,22.42683,21.1061,20.07176,19.59428,0.5188128
23.2685,20.69474,19.11367,18.33912,17.98112,0.3963801
19.29392,18.18851,17.51167,17.1307,16.90915,0.1432338
21.21849,19.21289,17.80928,17.28088,16.9094,0.2356796
22.91208,21.94883,20.474,19.73131,19.27374,0.5098776
18.74281,17.53946,16.90941,16.55528,16.30403,0.08791664
20.42487,18.53199,17.42739,16.9496,16.5956,0.1606916
23.43433,22.07078,20.36927,19.4461,18.79986,0.4705074
24.33366,21.99752,20.85851,19.71835,19.37882,0.5120102
21.35925,19.07265,18.14043,17.98511,17.46545,0.1253883
23.69291,22.62283,20.68266,19.83687,19.08073,0.6030527
17.93411,16.22426,15.41435,15.06979,14.71342,0.0549181
23.80333,20.1193,18.50302,17.92059,17.54225,0.2791823
26.62586,21.74693,20.22724,18.98138,18.40345,0.7360057
18.94907,17.22011,16.3626,15.91602,15.60687,0.07297799
19.99098,18.6677,17.48041,17.00541,16.60253,0.2188286
20.16315,18.23447,17.26103,16.84466,16.51334,0.1083538
23.00813,21.92268,20.72631,19.60669,19.43249,0.5360011
23.31003,22.45392,20.82365,19.83486,19.39895,0.6234666
18.27124,17.44436,17.11639,16.74439,16.71131,0.1138574
21.32006,19.2219,17.82163,17.32721,16.99775,0.2493023
25.15362,22.83128,20.80025,19.70035,19.37703,0.5763366
20.2573,18.56994,17.60073,17.14295,16.8206,0.1160897
20.53941,18.52461,17.58098,17.13003,16.75858,0.1116033
22.09264,22.14595,20.51792,19.61246,19.08699,0.4939981
22.8084,19.98876,18.20991,17.61631,17.1892,0.3284014
24.66289,22.28171,20.44429,19.49288,18.79208,0.4982734
20.49442,18.53091,17.43732,16.99102,16.63807,0.1427473
22.51297,22.33171,20.53869,19.4864,18.98009,0.5608348
19.57918,17.93361,16.90668,16.4762,16.12557,0.1249438
24.31148,20.19227,18.44649,17.81656,17.36463,0.3898497
18.18893,16.82282,16.21291,15.87341,15.60262,0.0541275
